"CoreyM","CoreyM","209:51:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","209:51:00","21408.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","21408.26","59318.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","59318.07","80726.33","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","80726.33"
"JamesR","JamesR","44:48:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","44:48:00","4704.44","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4704.44","8505.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8505.40","13209.84","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","13209.84"
"SamS","SamS","278:51:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","278:51:00","28728.59","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","28728.59","54908.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","54908.09","83636.68","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","83636.68"
"ShawnR","ShawnR","499:51:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","499:51:00","51993.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","51993.40","42915.56","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","42915.56","94908.96","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","94908.96"
"TomH","TomH","70:51:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","0:00:00","70:51:00","7160.25","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7160.25","35307.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","35307.38","42467.63","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","42467.63"
