"CoreyM","CoreyM","45:24:00","76:24:00","68:12:00","68:12:00","73:24:00","68:12:00","70:24:00","68:12:00","73:24:00","68:12:00","68:12:00","75:24:00","64:00:00","0:00:00","0:00:00","0:00:00","5:12:00","0:00:00","0:00:00","0:00:00","0:00:00","5:12:00","0:00:00","0:00:00","0:00:00","41:36:00","79:24:00","68:12:00","68:12:00","78:36:00","1234:00:00","9200.50","9232.47","8567.46","8853.77","10167.59","7751.79","7897.35","7273.34","10902.72","9735.52","10541.23","10243.90","7831.03","0.00","0.00","0.00","530.71","0.00","0.00","0.00","0.00","530.71","0.00","0.00","0.00","4238.10","11718.82","9139.63","8199.54","9378.87","161935.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1474.92","13989.77","13989.77","13989.77","14645.15","13989.77","13989.77","13989.77","13989.77","15680.81","13989.77","13989.77","13989.77","6795.27","0.00","0.00","0.00","858.50","179352.35","9200.50","9232.47","8567.46","8853.77","10167.59","7751.79","7897.35","7273.34","10902.72","9735.52","10541.23","10243.90","9305.95","13989.77","13989.77","13989.77","15175.86","13989.77","13989.77","13989.77","13989.77","16211.52","13989.77","13989.77","13989.77","11033.37","11718.82","9139.63","8199.54","10237.37","341287.40"
"JamesR","JamesR","40:24:00","68:12:00","77:24:00","68:12:00","75:24:00","68:12:00","68:12:00","71:24:00","75:24:00","68:12:00","68:12:00","68:12:00","72:12:00","0:00:00","0:00:00","0:00:00","7:12:00","0:00:00","0:00:00","0:00:00","0:00:00","7:12:00","0:00:00","0:00:00","0:00:00","53:36:00","68:12:00","69:24:00","68:12:00","82:36:00","1246:00:00","6055.24","9713.82","11267.43","9451.98","8977.59","6713.60","11010.65","9403.77","8825.59","8466.96","9153.47","8350.98","7279.48","0.00","0.00","0.00","756.50","0.00","0.00","0.00","0.00","756.50","0.00","0.00","0.00","5876.66","7065.15","6919.36","7418.11","11608.42","155071.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1690.07","13989.77","13989.77","13989.77","14624.15","14419.02","13989.77","13989.77","13989.77","14624.15","15464.69","13989.77","13989.77","5520.45","0.00","0.00","0.00","1268.76","179529.45","6055.24","9713.82","11267.43","9451.98","8977.59","6713.60","11010.65","9403.77","8825.59","8466.96","9153.47","8350.98","8969.55","13989.77","13989.77","13989.77","15380.65","14419.02","13989.77","13989.77","13989.77","15380.65","15464.69","13989.77","13989.77","11397.11","7065.15","6919.36","7418.11","12877.18","334600.71"
"SamS","SamS","34:24:00","68:12:00","68:12:00","78:24:00","76:24:00","68:12:00","68:12:00","68:12:00","82:36:00","68:12:00","68:12:00","68:12:00","60:00:00","0:00:00","0:00:00","0:00:00","8:12:00","0:00:00","0:00:00","0:00:00","0:00:00","8:12:00","0:00:00","0:00:00","0:00:00","60:36:00","68:12:00","68:12:00","70:24:00","84:36:00","1245:48:00","5292.37","7549.39","6116.70","9749.03","10450.87","9394.12","9112.31","9780.15","12778.93","8402.82","8923.33","7609.64","7927.54","0.00","0.00","0.00","845.26","0.00","0.00","0.00","0.00","845.26","0.00","0.00","0.00","6123.91","9422.46","8201.77","6994.97","9318.40","154839.23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2126.35","15896.98","13989.77","13989.77","14831.29","13989.77","14624.15","13989.77","13989.77","14831.29","13989.77","15679.84","13989.77","4233.61","0.00","0.00","0.00","1683.04","181834.94","5292.37","7549.39","6116.70","9749.03","10450.87","9394.12","9112.31","9780.15","12778.93","8402.82","8923.33","7609.64","10053.89","15896.98","13989.77","13989.77","15676.55","13989.77","14624.15","13989.77","13989.77","15676.55","13989.77","15679.84","13989.77","10357.52","9422.46","8201.77","6994.97","11001.44","336674.17"
"ShawnR","ShawnR","33:24:00","68:12:00","68:12:00","68:12:00","88:36:00","68:12:00","68:12:00","68:12:00","77:24:00","72:24:00","68:12:00","68:12:00","62:00:00","0:00:00","0:00:00","0:00:00","9:12:00","0:00:00","0:00:00","0:00:00","0:00:00","9:12:00","0:00:00","0:00:00","0:00:00","56:36:00","68:12:00","68:12:00","68:12:00","89:48:00","1248:48:00","4241.76","9549.60","7442.11","6049.82","11731.41","8669.48","7381.67","8813.62","8640.92","6641.75","10487.30","8909.01","8884.53","0.00","0.00","0.00","957.63","0.00","0.00","0.00","0.00","957.63","0.00","0.00","0.00","5363.24","9283.47","10690.58","8851.89","11751.66","155299.08","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2347.50","13989.77","16116.12","13989.77","15040.42","13989.77","13989.77","14831.29","13989.77","15040.42","13989.77","13989.77","15896.98","5279.27","0.00","0.00","0.00","2101.30","184581.69","4241.76","9549.60","7442.11","6049.82","11731.41","8669.48","7381.67","8813.62","8640.92","6641.75","10487.30","8909.01","11232.03","13989.77","16116.12","13989.77","15998.05","13989.77","13989.77","14831.29","13989.77","15998.05","13989.77","13989.77","15896.98","10642.51","9283.47","10690.58","8851.89","13852.96","339880.77"
"TomH","TomH","40:24:00","68:12:00","68:12:00","68:12:00","78:24:00","69:24:00","68:12:00","68:12:00","78:24:00","68:12:00","73:24:00","68:12:00","72:00:00","0:00:00","0:00:00","0:00:00","10:12:00","0:00:00","0:00:00","0:00:00","0:00:00","10:12:00","0:00:00","0:00:00","0:00:00","59:48:00","68:12:00","68:12:00","68:12:00","88:36:00","1262:48:00","3991.73","9430.96","7429.67","8799.38","10160.31","7075.00","8030.08","6647.48","11369.77","7661.86","8083.84","10305.42","7910.59","0.00","0.00","0.00","1031.22","0.00","0.00","0.00","0.00","1031.22","0.00","0.00","0.00","10770.42","7047.16","10682.07","9522.78","12176.73","159157.69","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","226.13","13989.77","13989.77","16337.27","15251.56","13989.77","13989.77","13989.77","15040.42","15251.56","13989.77","13989.77","13989.77","6771.25","0.00","0.00","0.00","2523.58","183319.93","3991.73","9430.96","7429.67","8799.38","10160.31","7075.00","8030.08","6647.48","11369.77","7661.86","8083.84","10305.42","8136.72","13989.77","13989.77","16337.27","16282.78","13989.77","13989.77","13989.77","15040.42","16282.78","13989.77","13989.77","13989.77","17541.67","7047.16","10682.07","9522.78","14700.31","342477.62"
