"CoreyM","CoreyM","57301.57","57301.57","14.55","14.55","57287.02","57287.02","634.69","634.69","0.00","0.00","56652.33","56652.33","0.011100","0.011100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.000000","0.000000","57301.57","57301.57","14.55","14.55","57287.02","57287.02","634.69","634.69","0.00","0.00","56652.33","56652.33","0.011100","0.011100"
"JamesR","JamesR","59036.77","59036.77","17.33","17.33","59019.44","59019.44","1046.09","1046.09","0.00","0.00","57973.35","57973.35","0.017700","0.017700","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.000000","0.000000","59036.77","59036.77","17.33","17.33","59019.44","59019.44","1046.09","1046.09","0.00","0.00","57973.35","57973.35","0.017700","0.017700"
"SamS","SamS","60045.09","60045.09","108.81","108.81","59936.28","59936.28","14058.87","14058.87","4.82","4.82","45872.59","45872.59","0.234600","0.234600","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.000000","0.000000","60045.09","60045.09","108.81","108.81","59936.28","59936.28","14058.87","14058.87","4.82","4.82","45872.59","45872.59","0.234600","0.234600"
"ShawnR","ShawnR","54157.03","54157.03","15.52","15.52","54141.51","54141.51","13331.91","13331.91","2.90","2.90","40806.70","40806.70","0.246300","0.246300","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.000000","0.000000","54157.03","54157.03","15.52","15.52","54141.51","54141.51","13331.91","13331.91","2.90","2.90","40806.70","40806.70","0.246300","0.246300"
"TomH","TomH","47872.42","47872.42","11.40","11.40","47861.02","47861.02","1313.29","1313.29","0.00","0.00","46547.73","46547.73","0.027400","0.027400","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.000000","0.000000","47872.42","47872.42","11.40","11.40","47861.02","47861.02","1313.29","1313.29","0.00","0.00","46547.73","46547.73","0.027400","0.027400"
